"id"	"label"
0	"chromosome.Acidobacteria"
1	"chromosome.Actinobacteria"
2	"chromosome.Bacteroidetes"
3	"chromosome.Chlamydiae"
4	"chromosome.Chlorobi"
5	"chromosome.Chloroflexi"
6	"chromosome.Cyanobacteria"
7	"chromosome.DeinococcusThermus"
8	"chromosome.Firmicutes"
9	"chromosome.Fusobacteria"
10	"chromosome.Nitrospirae"
11	"chromosome.other"
12	"chromosome.Planctomycetes"
13	"chromosome.Proteobacteria"
14	"chromosome.Spirochaetes"
15	"chromosome.Tenericutes"
16	"chromosome.Thermotogae"
17	"chromosome.Verrucomicrobia"
18	"plasmid.Actinobacteria"
19	"plasmid.Bacteroidetes"
20	"plasmid.Chlamydiae"
21	"plasmid.Cyanobacteria"
22	"plasmid.DeinococcusThermus"
23	"plasmid.Firmicutes"
24	"plasmid.Fusobacteria"
25	"plasmid.other"
26	"plasmid.Proteobacteria"
27	"plasmid.Spirochaetes"
